Row,OverallOrder,ChildIntOrder,Child,aclew_id,Media,Status,Include,Sample,CodeName,Notes
164,333,26,M-F40-C01,0643,M-F40-C01_112439_030524_000100,0-Pass1,0,highTTG_1mindur_summer2017,tt-1,dropped because included in extension: M-F40-C01_112439_030524.mp4
165,342,35,M-F40-C01,0643,M-F40-C01_112439_030524_000600,0-Pass1,1,highTTG_6mindur_summer2017,extension_tt-1,(inclusive) extension of M-F40-C01_112439_030524.mp4
166,76,8,M-F40-C01,0643,M-F40-C01_121526_035611_000500,0-Pass1,1,random_5mindur_summer2017,random-3,
167,81,9,M-F40-C01,0643,M-F40-C01_122640_040725_000500,0-Pass1,1,random_5mindur_summer2017,random-4,
168,25,3,M-F40-C01,0643,M-F40-C01_125620_043705_000500,1-XunPt1,1,random_5mindur_summer2017,random-5,
169,334,27,M-F40-C01,0643,M-F40-C01_131518_045603_000100,0-Pass1,1,highVAD_1mindur_summer2017,va-2,
170,335,28,M-F40-C01,0643,M-F40-C01_131724_045809_000100,0-Pass1,1,highTTG_1mindur_summer2017,tt-2,
171,13,2,M-F40-C01,0643,M-F40-C01_135839_053924_000500,1-XunPt1,1,random_5mindur_summer2017,random-6,
172,67,7,M-F40-C01,0643,M-F40-C01_141220_055305_000500,0-Pass1,1,random_5mindur_summer2017,random-7,
173,336,29,M-F40-C01,0643,M-F40-C01_145103_063148_000100,0-Pass1,1,highTTG_1mindur_summer2017,tt-3,
174,337,30,M-F40-C01,0643,M-F40-C01_153505_071550_000100,0-Pass1,1,highVAD_1mindur_summer2017,va-3,
175,6,1,M-F40-C01,0643,M-F40-C01_154057_072142_000500,1-XunPt1,1,random_5mindur_summer2017,random-8,
176,338,31,M-F40-C01,0643,M-F40-C01_154705_072750_000100,0-Pass1,1,highTTG_1mindur_summer2017,tt-4,
177,154,16,M-F40-C01,0643,M-F40-C01_161004_075049_000500,0-Pass1,1,random_5mindur_summer2017,random-9,
178,339,32,M-F40-C01,0643,M-F40-C01_163815_081900_000100,0-Pass1,1,highTTG_1mindur_summer2017,tt-5,
179,340,33,M-F40-C01,0643,M-F40-C01_164757_082842_000100,0-Pass1,1,highVAD_1mindur_summer2017,va-4,
180,341,34,M-F40-C01,0643,M-F40-C01_165720_083805_000100,0-Pass1,1,highVAD_1mindur_summer2017,va-5,
181,343,25,M-F43-C02,3026,M-F43-C02_090511_002825_000100,0-Pass1,1,highVAD_1mindur_summer2017,va-1,
182,137,14,M-F43-C02,3026,M-F43-C02_090618_002932_000500,0-Pass1,1,random_5mindur_summer2017,random-1,
183,344,26,M-F43-C02,3026,M-F43-C02_091429_003743_000100,0-Pass1,1,highTTG_1mindur_summer2017,tt-1,
