Row,OverallOrder,ChildIntOrder,Child,aclew_id,old_media_name,Status,Include,Sample,CodeName,Notes,start.hhmmss,newoffset,Media
142,321,26,M-F37-C02,2625,M-F37-C02_093830_004521_000100,0-Pass1,1,highVAD_1mindur_summer2017,va-2,NA,093830,090802,M-F37-C02_090802_004521_000100
143,45,5,M-F37-C02,2625,M-F37-C02_101217_011908_000500,0-Pass1,1,random_5mindur_summer2017,random-1,NA,101217,094149,M-F37-C02_094149_011908_000500
144,322,27,M-F37-C02,2625,M-F37-C02_111750_022441_000100,0-Pass1,1,highTTG_1mindur_summer2017,tt-1,NA,111750,104722,M-F37-C02_104722_022441_000100
145,323,28,M-F37-C02,2625,M-F37-C02_111850_022541_000100,0-Pass1,0,highTTG_1mindur_summer2017,tt-2,dropped because included in extension: M-F37-C02_111850_022541.mp4,111850,104822,M-F37-C02_104822_022541_000100
146,330,35,M-F37-C02,2625,M-F37-C02_111850_022541_000600,0-Pass1,1,highTTG_6mindur_summer2017,extension_tt-2,(inclusive) extension of M-F37-C02_111850_022541.mp4,111850,104822,M-F37-C02_104822_022541_000600
147,63,7,M-F37-C02,2625,M-F37-C02_113047_023738_000500,0-Pass1,1,random_5mindur_summer2017,random-2,NA,113047,110019,M-F37-C02_110019_023738_000500
148,331,36,M-F37-C02,2625,M-F37-C02_113923_024614_000100,0-Pass1,1,highTTG_1mindur_summer2017,tt-3,substitute for M-F37-C02_122826_033517.mp4,113923,110855,M-F37-C02_110855_024614_000100
149,12,2,M-F37-C02,2625,M-F37-C02_121706_032357_000500,1-XunPt1,1,random_5mindur_summer2017,random-3,NA,121706,114638,M-F37-C02_114638_032357_000500
150,9,1,M-F37-C02,2625,M-F37-C02_122426_033117_000500,1-XunPt1,1,random_5mindur_summer2017,random-4,NA,122426,115358,M-F37-C02_115358_033117_000500
151,22,3,M-F37-C02,2625,M-F37-C02_132635_043326_000500,1-XunPt1,1,random_5mindur_summer2017,random-5,NA,132635,125607,M-F37-C02_125607_043326_000500
